lga_code,sa4_code
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,3
10,9
11,10
12,11
13,9
14,12
15,13
16,10
17,14
18,15
19,16
20,17
21,18
22,6
23,19
24,20
25,12
26,9
27,21
28,3
29,19
30,22
31,15
32,23
33,13
34,4
35,24
36,4
37,25
38,4
39,11
40,16
41,5
42,26
43,27
44,28
45,18
46,24
47,6
48,12
49,23
50,29
51,30
52,14
53,31
54,32
55,32
56,15
57,33
58,34
59,1
60,20
61,29
62,11
63,27
64,2
65,35
66,14
67,36
68,37
69,38
70,39
71,2
72,40
73,24
74,19
75,27
76,41
77,37
78,7
79,42
80,16
81,43
82,44
83,45
84,4
85,30
86,3
87,11
88,11
89,18
58,46
90,16
91,11
53,47
92,15
93,48
94,11
95,49
96,40
97,9
98,32
99,50
100,37
101,24
102,14
103,27
104,16
105,51
106,52
107,22
108,52
66,26
109,35
110,53
58,41
111,39
112,20
113,7
114,37
115,14
116,21
117,41
118,54
119,35
120,22
121,55
122,11
123,35
124,13
125,51
116,41
126,38
127,6
128,12
129,56
130,53
131,18
132,57
133,58
134,39
135,59
136,60
137,55
58,58
138,14
139,8
140,61
141,62
142,55
143,32
144,63
145,36
146,1
147,64
148,1
149,53
74,14
150,33
151,65
152,66
153,59
154,15
155,45
156,55
157,9
158,67
159,54
160,59
161,38
162,22
163,24
164,67
165,4
166,68
167,54
168,65
169,8
170,17
171,38
172,57
173,16
174,23
175,4
176,67
150,40
177,42
178,3
179,69
180,22
181,60
182,53
183,61
184,70
185,3
186,53
187,33
188,33
189,69
190,63
191,71
44,30
192,16
193,55
194,39
195,72
196,4
197,3
198,50
199,50
200,48
94,66
201,37
202,18
203,22
204,63
58,73
205,9
206,33
207,72
208,38
168,60
41,7
206,36
209,74
210,23
211,24
171,70
212,67
213,61
214,50
71,48
215,53
216,54
217,32
218,75
219,36
220,26
221,70
222,50
223,65
224,17
225,17
226,62
227,9
228,18
229,51
230,8
231,76
224,74
232,77
233,53
234,16
235,32
80,22
236,65
237,53
238,62
239,39
240,18
241,9
242,3
243,77
244,39
245,24
246,53
247,18
248,16
236,67
249,16
250,76
251,50
73,12
252,50
253,35
184,33
254,6
255,22
253,6
256,7
182,40
257,6
58,78
258,42
259,59
260,24
16,29
261,8
262,53
263,9
264,65
5,41
265,69
266,50
267,1
268,16
269,55
225,56
218,13
259,57
270,18
271,64
272,69
273,23
274,4
275,27
209,56
276,11
277,6
278,69
279,24
280,16
281,16
282,37
283,6
284,8
71,77
285,6
286,69
287,24
288,74
289,71
117,31
290,71
291,4
79,35
67,49
292,40
293,22
294,19
295,1
296,24
297,67
298,1
299,9
300,39
301,50
302,23
85,77
303,72
304,71
218,51
305,24
306,9
307,9
308,69
309,55
310,71
311,1
116,43
312,64
145,33
313,6
314,1
315,9
316,9
317,69
318,6
176,36
319,23
320,49
321,1
322,9
323,55
324,71
172,59
325,48
326,64
2,10
327,64
328,49
329,48
330,71
331,76
332,55
333,24
152,51
334,72
335,6
336,65
334,71
337,22
338,7
312,8
339,22
340,1
341,24
342,48
343,4
344,22
125,13
345,23
346,71
20,30
347,69
348,9
349,4
350,61
130,40
351,22
125,10
352,71
353,23
354,24
47,35
229,29
355,24
138,26
356,23
357,79
358,80
359,79
360,80
361,81
362,79
363,82
364,83
365,9
366,84
367,83
368,85
369,79
64,77
370,85
371,81
372,79
107,16
373,79
374,86
375,86
376,87
377,88
378,88
379,24
380,24
381,79
382,64
383,79
384,85
385,86
386,86
387,87
388,24
389,87
390,84
391,79
158,36
392,80
393,85
394,85
395,87
396,79
397,79
398,84
399,87
400,79
284,64
401,24
402,79
403,79
404,9
405,82
406,23
407,86
161,70
408,82
409,88
410,85
411,79
412,70
413,79
414,80
415,88
416,79
417,82
418,86
419,79
420,86
421,86
106,31
422,87
423,86
89,1
424,79
425,87
426,79
427,79
428,74
429,79
430,87
61,30
431,79
432,79
433,79
434,79
435,79
436,14
437,86
438,50
439,82
440,79
441,86
442,83
443,23
444,71
445,79
446,79
320,65
447,79
448,87
449,1
450,82
451,86
452,82
453,86
454,12
455,79
456,86
457,85
458,79
231,56
459,24
460,79
461,87
462,22
463,86
464,79
465,23
466,80
467,79
468,23
469,79
470,86
471,87
472,23
473,79
474,79
475,86
476,82
477,79
478,9
479,85
480,79
481,24
482,84
364,84
483,23
484,87
485,79
486,79
267,18
129,76
487,79
457,88
99,65
488,71
489,24
22,35
490,24
491,22
217,62
300,53
144,53
492,54
493,71
494,84
495,79
496,79
497,79
498,86
499,84
500,86
361,79
64,30
501,79
502,84
503,79
504,86
505,86
506,86
136,37
507,87
508,84
509,86
