sa4_name,sa4_code
Riverina,1
Sydney - Baulkham Hills and Hawkesbury,2
Launceston and North East,3
New England and North West,4
Toowoomba,5
Barossa - Yorke - Mid North,6
Darling Downs - Maranoa,7
Hobart,8
South Australia - South East,9
Sydney - Outer West and Blue Mountains,10
Capital Region,11
Cairns,12
Illawarra,13
Hunter Valley exc Newcastle,14
Wide Bay,15
Central West,16
Sydney - Inner South West,17
Murray,18
Mid North Coast,19
Mackay - Isaac - Whitsunday,20
Logan - Beaudesert,21
Far West and Orana,22
South Australia - Outback,23
Queensland - Outback,24
Central Coast,25
Newcastle and Lake Macquarie,26
Central Queensland,27
Sydney - Blacktown,28
Sydney - South West,29
Sydney - Parramatta,30
Moreton Bay - North,31
Richmond - Tweed,32
Melbourne - Inner,33
Brisbane - South,34
Adelaide - North,35
Melbourne - North West,36
Warrnambool and South West,37
Melbourne - South East,38
Latrobe - Gippsland,39
Melbourne - North East,40
Ipswich,41
Adelaide - West,42
Gold Coast,43
Australian Capital Territory,44
Mornington Peninsula,45
Brisbane Inner City,46
Moreton Bay - South,47
Sydney - North Sydney and Hornsby,48
Bendigo,49
North West,50
Sydney - Outer South West,51
Sunshine Coast,52
Hume,53
Townsville,54
Adelaide - Central and Hills,55
Sydney - City and Inner South,56
Melbourne - Inner East,57
Brisbane - East,58
Melbourne - Outer East,59
Geelong,60
Adelaide - South,61
Coffs Harbour - Grafton,62
Shepparton,63
South East,64
Ballarat,65
Southern Highlands and Shoalhaven,66
Melbourne - West,67
Sydney - Northern Beaches,68
West and North West,69
Melbourne - Inner South,70
Northern Territory - Outback,71
Darwin,72
Brisbane - North,73
Sydney - Inner West,74
Sydney - Sutherland,75
Sydney - Eastern Suburbs,76
Sydney - Ryde,77
Brisbane - West,78
Western Australia - Wheat Belt,79
Perth - South West,80
Mandurah,81
Western Australia - Outback (North),82
Perth - North West,83
Perth - Inner,84
Perth - South East,85
Western Australia - Outback (South),86
Bunbury,87
Perth - North East,88
